Date;Product_Category;Sales_Volume;Price;Promotion;Store_Location;Weekday;Supplier_Cost;Replenishment_Lead_Time;Stock_Level;Proxy_Margin;Promotion;Weekday
01/01/2022;Household;1583;5.190.661.374;0;Urban;5;9.299.280.855;9;207;-4.108.619.481;No Promotion;Saturday
02/01/2022;Personal Care;1103;8.949.595.985;0;Urban;6;1.327.410.858;5;253;-4.324.512.595;No Promotion;Sunday
03/01/2022;Dairy;455;4.867.987.327;0;Rural;0;1.330.226.484;9;245;-8.434.277.513;No Promotion;Monday
04/01/2022;Personal Care;1107;1.696.859.572;1;Urban;1;1.005.615.845;5;265;691.243.727;Promotion;Tuesday
05/01/2022;Personal Care;1447;4.309.673.395;1;Rural;2;3.562.861.556;8;334;0.746811839;Promotion;Wednesday
06/01/2022;Snacks;1256;1.925.483.048;1;Urban;3;1.301.345.405;1;245;624.137.643;Promotion;Thursday
07/01/2022;Dairy;987;8.902.239.957;0;Suburban;4;1.334.835.481;7;356;-4.446.114.853;No Promotion;Friday
08/01/2022;Dairy;1928;1.707.866.055;0;Rural;5;3.351.476.982;4;201;1.372.718.357;No Promotion;Saturday
09/01/2022;Dairy;1963;1.294.653.155;1;Rural;6;1.119.267.824;5;63;175.385.331;Promotion;Sunday
10/01/2022;Personal Care;226;1.497.165.567;1;Urban;0;4.654.533.459;6;374;1.031.712.221;Promotion;Monday
11/01/2022;Household;1229;1.558.675.387;0;Rural;1;1.213.828.453;5;195;344.846.934;No Promotion;Tuesday
12/01/2022;Dairy;1108;1.059.205.276;0;Rural;2;1.495.994.955;1;475;-436.789.679;No Promotion;Wednesday
13/01/2022;Personal Care;703;1.132.270.994;0;Suburban;3;0.935377077;9;106;1.038.733.286;No Promotion;Thursday
14/01/2022;Snacks;1922;1.076.592.149;0;Suburban;4;1.351.180.505;2;260;-274.588.356;No Promotion;Friday
15/01/2022;Household;1501;1.217.310.918;1;Urban;5;9.528.142.737;9;317;2.644.966.443;Promotion;Saturday
16/01/2022;Snacks;1113;1.558.494.469;0;Suburban;6;1.461.404.798;2;259;-1.305.555.351;No Promotion;Sunday
17/01/2022;Household;150;8.514.788.227;0;Urban;0;7.242.638.004;9;66;1.272.150.223;No Promotion;Monday
18/01/2022;Personal Care;1152;1.251.758.556;0;Urban;1;1.278.712.499;6;335;-0.26953943;No Promotion;Tuesday
